"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"Tragelaphus_angasi","animal","spiral-horned South African antelope with a fringe of white hairs along back and neck","1","spiral-horned South African antelope with a fringe of white hairs along back and neck"
"Tragelaphus_buxtoni","animal","shaggy antelope of mountains of Ethiopia","1","shaggy antelope of mountains of Ethiopia"
"Tragelaphus_eurycerus","animal","large forest antelope of central Africa having a reddish-brown coat with white stripes and spiral horns","1","large forest antelope of central Africa having a reddish-brown coat with white stripes and spiral horns"
"Tragelaphus_imberbis","animal","a smaller variety of kudu","1","a smaller variety of kudu"
"Tragelaphus_scriptus","animal","antelope with white markings like a harness and twisted horns","1","antelope with white markings like a harness and twisted horns"
"Tragelaphus_strepsiceros","animal","a variety of kudu","1","a variety of kudu"
"tragopan","animal","brilliantly colored Asian pheasant having wattles and two fleshy processes on the head","1","brilliantly colored Asian pheasant having wattles and two fleshy processes on the head"
"Tragulidae","animal","chevrotains","1","chevrotains"
"Tragulus","animal","type genus of the Tragulidae","1","type genus of the Tragulidae"
"Tragulus_Javanicus","animal","chevrotain somewhat larger than the kanchil","1"," found in India and Malaya"
"Tragulus_kanchil","animal","small chevrotain of southeastern Asia","1","small chevrotain of southeastern Asia"
"trap-door_spider","animal","American spider that constructs a silk-lined nest with a hinged lid","1","American spider that constructs a silk-lined nest with a hinged lid"
"tree-frog","animal","arboreal amphibians usually having adhesive disks at the tip of each toe","1"," of southeast Asia and Australia and America"
"tree_creeper","animal","any of various small insectivorous birds of the northern hemisphere that climb up a tree trunk supporting themselves on stiff tail feathers and their feet","1","any of various small insectivorous birds of the northern hemisphere that climb up a tree trunk supporting themselves on stiff tail feathers and their feet"
"tree_cricket","animal","pale arboreal American cricket noted for loud stridulation","1","pale arboreal American cricket noted for loud stridulation"
"tree_frog","animal","arboreal amphibians usually having adhesive disks at the tip of each toe","1"," of southeast Asia and Australia and America"
"tree_kangaroo","animal","arboreal wallabies of New Guinea and northern Australia having hind and forelegs of similar length","1","arboreal wallabies of New Guinea and northern Australia having hind and forelegs of similar length"
"tree_lizard","animal","a climbing lizard of western United States and northern Mexico","1","a climbing lizard of western United States and northern Mexico"
"tree_martin","animal","of Australia and Polynesia","1"," nests in tree cavities"
"tree_shrew","animal","insectivorous arboreal mammal of southeast Asia that resembles a squirrel with large eyes and long sharp snout","1","insectivorous arboreal mammal of southeast Asia that resembles a squirrel with large eyes and long sharp snout"
"tree_sloth","animal","any of several slow-moving arboreal mammals of South America and Central America","1"," they hang from branches back downward and feed on leaves and fruits"
"tree_sparrow","animal","Eurasian sparrow smaller than the house sparrow","1","Eurasian sparrow smaller than the house sparrow"
"tree_squirrel","animal","any typical arboreal squirrel","1","any typical arboreal squirrel"
"tree_swallow","animal","bluish-green-and-white North American swallow","1"," nests in tree cavities"
"tree_swift","animal","birds of southeast Asia and East Indies differing from true swifts in having upright crests and nesting in trees","1","birds of southeast Asia and East Indies differing from true swifts in having upright crests and nesting in trees"
"tree_toad","animal","arboreal amphibians usually having adhesive disks at the tip of each toe","1"," of southeast Asia and Australia and America"
"tree_wallaby","animal","arboreal wallabies of New Guinea and northern Australia having hind and forelegs of similar length","1","arboreal wallabies of New Guinea and northern Australia having hind and forelegs of similar length"
"treehopper","animal","small leaping insect that sucks juices of branches and twigs","1","small leaping insect that sucks juices of branches and twigs"
"Trematoda","animal","parasitic flatworms (including flukes)","1","parasitic flatworms (including flukes)"
"trematode","animal","parasitic flatworms having external suckers for attaching to a host","1","parasitic flatworms having external suckers for attaching to a host"
"trematode_worm","animal","parasitic flatworms having external suckers for attaching to a host","1","parasitic flatworms having external suckers for attaching to a host"
"trepang","animal","of warm coasts from Australia to Asia","1"," used as food especially by Chinese"
"Trephritidae","animal","fruit flies","1"," some leaf miners"
"treponema","animal","spirochete that causes disease in humans (e.g. syphilis and yaws)","1","spirochete that causes disease in humans (e.g. syphilis and yaws)"
"Treponemataceae","animal","small spirochetes some parasitic or pathogenic","1","small spirochetes some parasitic or pathogenic"
"Triaenodon","animal","a genus of Triakidae","1","a genus of Triakidae"
"Triaenodon_obseus","animal","smooth dogfish of Pacific and Indian Oceans and Red Sea having white-tipped dorsal and caudal fins","1","smooth dogfish of Pacific and Indian Oceans and Red Sea having white-tipped dorsal and caudal fins"
"Triakidae","animal","small sharks with smooth skins and lacking spines on their dorsal fins","1","small sharks with smooth skins and lacking spines on their dorsal fins"
"Trialeurodes","animal","a genus of Aleyrodidae","1","a genus of Aleyrodidae"
"Trialeurodes_vaporariorum","animal","whitefly that inhabits greenhouses","1","whitefly that inhabits greenhouses"
"Triatoma","animal","conenoses","1","conenoses"
"tribe_Bovini","animal","term not used technically","1"," essentially coextensive with genus Bos"
"tribe_Bubalus","animal","in some classification systems included in genus Bos","1"," water buffaloes"
"tribe_synercus","animal","Cape buffalo","1","Cape buffalo"
"Tribolium","animal","flour beetles","1","flour beetles"
"Tribonema","animal","type genus of Tribonemaceae","1","type genus of Tribonemaceae"
"Tribonemaceae","animal","simple filamentous freshwater yellow-green algae","1","simple filamentous freshwater yellow-green algae"
"triceratops","animal","huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill","1","huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill"
"Trichechidae","animal","comprising only the manatees","1","comprising only the manatees"
"Trichechus","animal","type and sole genus of the Trichechidae","1","type and sole genus of the Trichechidae"
"Trichechus_manatus","animal","sirenian mammal of tropical coastal waters of America","1"," the flat tail is rounded"
"trichina","animal","parasitic nematode occurring in the intestines of pigs and rats and human beings and producing larvae that form cysts in skeletal muscles","1","parasitic nematode occurring in the intestines of pigs and rats and human beings and producing larvae that form cysts in skeletal muscles"
"Trichinella_spiralis","animal","parasitic nematode occurring in the intestines of pigs and rats and human beings and producing larvae that form cysts in skeletal muscles","1","parasitic nematode occurring in the intestines of pigs and rats and human beings and producing larvae that form cysts in skeletal muscles"
"Trichiuridae","animal","cutlassfishes","1","cutlassfishes"
"trichodesmium","animal","large colonial bacterium common in tropical open-ocean waters","1"," important in carbon and nitrogen fixation"
"Trichodontidae","animal","two species of elongate compressed scaleless large-eyed fishes that live in sand or mud","1","two species of elongate compressed scaleless large-eyed fishes that live in sand or mud"
"Trichoglossus","animal","a genus of Loriinae","1","a genus of Loriinae"
