FrameNet frame,Definition
Text_creation,"An Author creates a Text, either written, such as a letter, or spoken, such as a speech, that contains meaningful linguistic tokens, and may have a particular Addressee in mind. The Text may include i..."
Theft,These are words describing situations in which a Perpetrator takes Goods from a Victim or a Source. The Means by which this is accomplished may also be expressed. 'I can't believe he pickpocketed my g...
Thermodynamic_phase,This frame describes the attributes of a thermodynamic Phase of Matter. '' 'The molten stateof the lava.'
Thriving,"An Entity is in a state such that it participates in a preponderance of states and events which are desirable for it. For living entities, this may entail a proliferation of instances of the entity, o..."
Thwarting,"In this frame a Preventing_cause interferes with the ability of a Protagonist to complete an intended Action. The Protagonist may not be mentioned in the sentence, in which case the Action is an endea..."
Time_period_of_action,LUs in this frame denote a period of time in which an Enabled_action becomes possible. The Duration of this time period can be both exact and inexact. An Agent who performs the Enabled_action may be m...
Time_vector,"An Event is identified as occurring at a particular Distance and in a particular Direction from a Landmark_event. The lexical units incorporate the Direction and, in some cases, the Landmark_event. Th..."
Timespan,"The words in this frame describe a period of time, as opposed to a point in time. 'The best time of year for planting tends to be fairly regular.'"
Timetable,"A Timetable of Events is a mental object deliberately created, modified or kept by a Cognizer. The Timetable is often modified by an adjective depicting a Period_of_iterations or a dependent noun expr..."
Tolerating,"The words in this frame describe an Experiencer's feelings of tolerating with respect to some Content. A Reason for the toleration may also be expressed. Although the Content may refer to an actual, c..."
Tool_purpose,"A living entity intends a Tool to be able to fulfill a generic Purpose. The material from which the tool is created can be something natural or something manmade, including another tool. 'The use of a..."
Topic,A stretch of linguistic discourse or a Text that a Communicator produces has a Topic that it is about. 'Chapter 5 discusses the issue of transubstantiation.' 'Smither's essay is about plane spotting.'...
Touring,"A Tourist experiences an Attraction, a location with a unique history or other societally recognized individual character, with the goal of seeing and learning about it. Typically, the Attraction has ..."
Toxic_substance,"A Toxic_substance causes death or harm when introduced into or absorbed by a living organism, the Victim. The Toxic_substance may be specified to be produced by or contained in a Toxin_source. The Tox..."
Transfer,This frame involves a Donor transferring a Theme to a Recipient. 'I transferred $20 to his account.'
Transition_to_a_quality,"An Entity ends up with a particular new Final_quality. 'The milk has gone sour already .' There is only one lexical unit, go.v, that evokes this frame directly in English, and it combines only with a ..."
Transition_to_a_situation,"An Entity ends up in a Final_situation. 'I have come to appreciate good coffee .' 'We have come to expect three meals a day .' 'When the history of our times comes to be written , They Organized Thems..."
Transition_to_state,"An Entity ends up in a Final_category, Final_situation, or Final_quality which it was not in before. Some members of the frame (e.g. grow.v) tend to emphasize a gradual change, while most members of t..."
Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. '' 'This word is ..."
Transportation_status,"A Rider is being transported in a Vehicle, or is moving on foot. 'Mounted police officers are a common sight in this village.' 'You mean to say they are on foot?'"
Trap,A Deceiver sets up a Trap in order to cause a Victim to have an incorrect understanding about a situation. The Deceiver anticipates that this will lead the Victim to take a course of action (including...
Travel,"In this frame a Traveler goes on a journey, an activity, generally planned in advance, in which the Traveler moves from a Source location to a Goal along a Path or within an Area. The journey can be a..."
